%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1631907703124804162,32317,1631907703132022615,gps,0,0,39.81261079309821,-86.34155694081255,261.50217344332486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907703174815234,32318,1631907703180156685,gps,0,0,39.812606876860166,-86.3415568632115,261.50272106565535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907703224817555,32319,1631907703229374209,gps,0,0,39.81260295386288,-86.34155683634492,261.5117283593863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907703274781842,32320,1631907703279859177,gps,0,0,39.8125990374196,-86.34155674122292,261.51913391333073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907703324815085,32321,1631907703332010907,gps,0,0,39.81259511800714,-86.34155660772475,261.50944108329713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907703374894239,32322,1631907703378996470,gps,0,0,39.81259120518024,-86.34155649136338,261.5065923994407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907703424816752,32323,1631907703429600485,gps,0,0,39.81258724886793,-86.34155642001772,261.5184815451503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907703474823554,32324,1631907703483304072,gps,0,0,39.81258319614937,-86.34155629369165,261.5208098804578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907703524808014,32325,1631907703535936548,gps,0,0,39.81257909855123,-86.3415561794619,261.50732411351055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907703574873085,32326,1631907703579592335,gps,0,0,39.81257501527887,-86.34155605446736,261.5050454288721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907703624847278,32327,1631907703628657528,gps,0,0,39.81257081283945,-86.34155590813334,261.5071460288018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907703674866952,32328,1631907703679804646,gps,0,0,39.8125665642526,-86.34155577054493,261.51084597501904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907703724869680,32329,1631907703730565588,gps,0,0,39.812562363575694,-86.34155562276194,261.5148007962853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907703774820976,32330,1631907703779716340,gps,0,0,39.81255818462408,-86.34155547240145,261.51559404470026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1631907703824797475,32331,1631907703828591079,gps,0,0,39.812553962433356,-86.34155535909842,261.50954445265234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
